Åtgärdsförslag (formuleringen är under revidering och uppdatering),,,,
RÅD-id,Kategori (REK/OBS),rekommenderade åtgärder(REK)/Tänk på att (OBS),Åtgärd/åtgärder i intyget,Bedömning i intyget
1,OBS,Kartlägga potentiella stressfaktorer och hur patienten kan bli <b>avlastad</b> ,,
2,OBS,Kartlägga <b>sömnstörningar</b> och motionsvanor,,
3,OBS,Skicka med lättillgänglig information om diagnosen och behandlingsmöjligheter,,
4,OBS,Eventuellt förmedla kontakt med andra i samma situation,,
5,OBS,Kvinnor och män med likartade arbetsvillkor drabbas av utmattningssyndrom i lika hög grad,,
6,OBS,"Utreda eventuell depression, eftersom män ofta felaktigt ges en somatisk diagnos",,
7,OBS,"Utreda samsjuklighet, eftersom kvinnor ofta felaktigt får en psykiatrisk diagnos",,
8,OBS,Informera om mindfulness -övningar via 1177 Vårdguiden,,
9,OBS,Byte av yrke eller arbetsplats kan vara alternativ,,
10,REK,"Arbetsanpassning och stöd till arbetsplatsbesök samt arbetsplatsträning, via arbetsgivare och ev. företagshälsovård","Arbetsanpassning, Arbetsträning, Besök på arbetsplatsen, Kontakt med företagshälsovård",
12,REK,Vid akut fas: Heltids- eller deltidssjukskrivning]i upp till 6 månader,,
13,REK,Psykoterapi eller psykosocial behandling ,,
14,OBS,Kartlägga potentiella stressfaktorer och hur patienten kan bli avlastad,,
15,OBS,Informera om kortvarig stress i syfte att undvika medikalisering och sjukskrivning,,
16,OBS,Stötta patientens egna åtgärder för att hantera stress,,
17,OBS,Alltid beakta suicidal risk,,
18,REK,FaR för minst 30 minuters motion per dag,,
19,REK,Psykoterapi för att understödja livsstilsförändringar och stresshantering,,
20,REK,Kroppsmedvetandeträning för att lära sig hantera kroppens varningssignaler,,
21,REK,Arbetsanpassning och stöd till successiv återgång via arbetsterapeut,,
22,REK,"Fysioterapi för träning av kroppsmedvetenhet, avslappning och andning",,
23,OBS,"Kartlägga grad av depression med hjälp av ICD 10, DSM IV och självskattningsschema",,
24,OBS,"Full effekt av psykoterapi kan ske redan inom fyra veckor, men mest sannolikt efter minst åtta veckor beroende på grad",,
25,OBS,Undvika sjukskrivning vid lindrig förstagångsdepression,,
26,OBS,"Utreda samsjuklighet, eftersom kvinnor ofta felaktigt får en psykiatrisk diagnos",,
27,REK,Utredning enligt DSM IV-kriterier via psykiatrisk klinik,,
28,REK,"Psykoterapi: KBT, interpersonell psykoterapi (IPT), psykodynamisk korttidsterapi (ISTDP)",,
29,REK,"Arbetsanpassning, via arbetsgivare och företagshälsovård",,
30,REK,Fysisk aktivitet (FaR med konditions- och styrketräning eller fysioterapi),,
31,REK,Behandling med rTMS (repetitiv transkraniell magnetstimulering),,
32,REK,"Internetbaserad KBT, via 1177 Stöd och behandling",,
33,OBS,Överväga deltidssjukskrivning med anpassade arbetsuppgifter,,
34,OBS,"Beakta barns behov av information, råd och stöd, enligt barnperspektivet",,
35,OBS,"Kolla långtidssjukskrivna med prov, eftersom missbruk och alkohol är mer skamligt för kvinnor",,
36,OBS,Fråga kvinnor om våld i nära relationer,,
37,REK,"Rehabiliteringsplan, i samverkan med anhörig och slutenvård",,
38,REK,Vid tidigare god effekt: återinsatt läkemedelsbehandling,,
39,REK,"Psykosocial behandling: stödjande samtal, motiverande samtal eller psykopedagogisk behandling",,
40,REK,Arbetsterapi för funktionsträning och strukturstödjande insatser samt kognitiva hjälpmedel,,
41,REK,KBT eller mindfulness-baserad kognitiv terapi för att förebygga återfall,,
42,OBS,Erbjuda en strukturerad första bedömning,,
43,OBS,Bensodiazepiner är olämpliga pga. risk för toleransutveckling,,
44,OBS,Ge generella råd för att minska ångest och informera om mindfullness övningar via 1177 Vårdguiden,,
45,REK,Vid social fobi: Internetbaserad KBT via 1177 Stöd och behandling,,
46,REK,SSRI-läkemedel enligt Läkemedelverkets rekommendation,,
47,OBS,Utreda alkoholanvändning och samsjuklighet med missbruk och ångesttillstånd,,
48,OBS,Kartlägga behov av mer omfattande psykosocial behandling,,
49,OBS,Patient- och närståendeutbildning är ett värdefullt komplement till annan behandling,,
50,OBS,"Arbeten som medför förhöjd stressnivå, oregelbunden livsföring och som stör normal dygnsrytm är olämpliga",,
51,REK,Psykopedagogisk behandling tillsammans med närstående,,
52,REK,"Psykoterapi: KBT, familjefokuserad terapi (FFT), interpersonell och social rytmterapi (IPSRT)",,
53,OBS,Avråda från arbete ovan axelplanet,,
54,OBS,"Instruera om armpendling, skulderstretchning, dörrlutning och dörrkarmspress",,
55,OBS,Överväga arbetsbyte tidigt då problem kan kvarstå under lång tid,,
56,REK,"Ergonomisk arbetsplatsbedömning, via arbetsgivare och företagshälsovård",,
57,REK,"Arbetsuppgiftsanpassning, via arbetsgivare och företagshälsovård",,
58,REK,"Fysioterapi för träning av rörlighet, styrka och koordination som kan förbättra subjektiv funktion",,
59,REK,Kiropraktik för att behandla triggerpunkter i muskulatur,,
60,OBS,Kartlägga fysiska och psykosociala riskfaktorer som kan leda till utveckling av långvarig smärta,,
61,OBS,Posttraumatiskt stressyndrom (PTSD) drabbar 25 % av patienter med kvarvarande smärta efter olycka,,
62,OBS,Mer information om egenbehandling finns att läsa via 1177 Vårdguiden,,
63,OBS,Snabb fysioterapi och arbetsanpassning kan förhindra risken för kronisk smärta,,
64,REK,"Fysioterapi för träning av förbättrad prestationsförmåga, stämningsläge, sömn och minskad stresskänslighet",,
65,REK,"Ergonomisk arbetsplatsbedömning, via arbetsgivare och företagshälsovård",,
66,REK,"Arbetsterapi för utprovning av hjälpmedel, via arbetsgivare och företagshälsovård",,
67,REK,"Arbetsanpassning, via arbetsgivare och företagshälsovård",,
68,REK,Rehabiliteringsplan och stöd i försäkringsfrågor (via smärtspecialistmottagning eller rehabkoordinator),,
69,REK,Utredning och behandling via smärtspecialistmottagning,,
70,OBS,Avråda från framåtböjda positioner och vridna lyft,,
71,OBS,Uppmuntra till fortsatt arbete och belastning vilket påskyndar läkningen,,
72,OBS,Informera om mindfulness övningar via 1177 Vårdguiden,,
73,REK,Fysioterapi med genomgång av ett styrketräningsprogram och ryggstretchövningar,,
74,REK,Fysisk aktivitet (FaR med konditions- och styrketräning samt rörlighets-och balansträning eller fysioterapi),,
75,REK,"Ergonomisk arbetsplatsbedömning, via arbetsgivare och företagshälsovård",,
76,REK,"Arbetsanpassning, via arbetsgivare och företagshälsovård",,
77,OBS,Uppmuntra till fortsatt arbete och belastning vilket påskyndar läkningen.,,
78,OBS,"Kartlägga bakomliggande orsaker såsom övervikt, arbetsställning, stress och missnöjdhet",,
79,OBS,Smärtstillande läkemedel kan hjälpa en inaktiv och rörelserädd patient,,
80,REK,"Rökstopp genom sluta-röka-programmet Rökfri, via 1177 Vårdguiden",,
81,REK,"Vid övervikt: Kostrådgivning, via dietist",,
82,REK,Kartläggning av arbetsplatsförhållanden och livssituation via företagshälsovård,,
83,REK,Multimodal rehabilitering för smärthantering via företagshälsovård,,
84,OBS,Akuta besvär kan återkomma utan direkt samband med fysiska påfrestningar,,
85,REK,Kartläggning av arbetsplatsförhållanden och livssituation via företagshälsovård,,
86,OBS,Muskelspänningar kan förknippas med stress pga. psykosociala arbetsvillkor,,
87,OBS,"Träning av lår- och benmuskulatur minskar risken för ""droppfot"" och ytterligare besvär.",,
88,REK,Fysioterapi för träning av rygg- och lårmuskulatur,,
89,OBS,"Det saknas vetenskapliga bevis för att TNS (transkutan nervstimulering), ultraljud, akupunktur, värme eller laserterapi skulle ha effekt",,
90,REK,"Manuell terapi för smärtlindring via naprapat, kiropraktor eller fysioterapeut",,
91,OBS,"Kartlägga motionsvanor och möjliga lösningar för avlastning (käpp, ortos, viktnedgång)",,
92,REK,Fysioterapi med instruktioner och hjälp att komma igång med lämplig träning via artrosskola,,
93,REK,"Ergonomisk arbetsplatsbedömning, via arbetsgivare och företagshälsovård",,
94,OBS,Om det inte går att anpassa arbetsuppgifterna bör byte av arbete övervägas tidigt,,
95,REK,"Bedömning och eventuell operation, via ortoped",,
96,OBS,"Artroskopisk kirurgi vid knäartros inte har någon effekt på smärta, funktion och livskvalitet",,
97,OBS,"Kartlägga kost- och motionsvanor, samt uppmuntra till viktnedgång även vid måttlig övervikt",,
98,REK,"Vid övervikt: Kostrådgivning, via dietist",,
99,OBS,Ultraljudsbehandling inte har någon visad effekt,,
100,REK,Fysisk aktivitet (FaR med konditions- och styrketräning eller fysioterapi),,
101,OBS,Mer information om egenbehandling finns att läsa via 1177 Vårdguiden,,
102,REK,"Smärtstillande eller NSAID-läkemedel, exempelvis kortisoninjektion",,
103,REK,Fysioterapi eller arbetsterapi för ändring av belastningsmönster och utprovning av tumbas-ortos,,
104,OBS,Tidigt utreda ändrat belastningsmönster i kombination med smärtstillande eller NSAID-läkemedel,,
105,REK,Efter operation: Fysioterapi för träningsprogram med fokus på successivt ökad belastning,,
106,REK,FaR med konditions- och styrketräning,,
107,OBS,Det kan räcka med fem minuters träning om dagen för att förbättra situationen,,
108,REK,"Arbetsuppgiftsanpassning, via arbetsgivare och företagshälsovård",,
109,OBS,"Symptomen kan tyda på tidigt utvecklad knäartros, varpå artroskopisk kirurgi inte har någon effekt.",,
110,OBS,"Avråda från vibrerande verktyg, ensidig tung handbelastning samt repetitiva arbetsuppgifter",,
111,OBS,Avråda från tung fysisk belastning de första 4 veckorna efter operation,,
112,OBS,Informera om hyperestesiträning av ömmande ärr efter operation,,
113,REK,Arbetsterapi för utprovning av handledsskena till natten,,
114,REK,"Ergonomisk arbetsplatsbedömning, via arbetsgivare och företagshälsovård",,
115,REK,"Arbetsuppgiftsanpassning, via arbetsgivare och företagshälsovård",,
116,OBS,Byte av yrke eller arbetsplats kan vara alternativ,,
117,OBS,Repetitiva sträck- och vridrörelser i handledens sträckmuskulatur och vid musklernas ursprung leder till degenerativa skador,,
118,OBS,Kartlägga arbets- eller fritidsaktivitet som eventuellt utlöst tillståndet,,
119,OBS,Självläkningspotentialen är stor och nära 90 % kan beräknas bli besvärsfria inom 1 år,,
120,OBS,Överväga deltidssjukskrivning med stöd av hjälpmedel,,
121,REK,"Fysioterapi för instruktioner och hjälp med egenvård, inklusive stretching av extensorerna",,
122,REK,"Arbetsanpassning för att ändra belastningsmönster, via arbetsgivare och företagshälsovård",,
123,REK,Arbetsterapi eller fysioterapi för utprovning av epikondylitbandage eller handledsstöd,,
124,REK,"Ergonomisk arbetsplatsbedömning, via arbetsgivare och företagshälsovård",,
125,OBS,"Isolerade ulnafrakturer kan vara parerskador och tecken på våld i nära relation, vilket ska uteslutas.",,
126,OBS,Tid för sjukskrivning beror på om fraktur är belägen på dominant eller icke-dominant sida.,,
127,OBS,Instruera om vikten av handen i högläge och omedelbar rörlighetsträning för cirkulation,,
128,REK,Fysioterapi eller arbetsterapi för mobilisering genom rörlighetsträning och ödemprofylax,,
129,REK,"Ergonomisk arbetsplatsbedömning, via arbetsgivare och företagshälsovård",,
130,REK,"Arbetsuppgiftsanpassning, via arbetsgivare och företagshälsovård",,
131,REK,Kostrådgivning om skelettstärkande kost via dietist ,,
132,OBS,Utreda patientens arbetsuppgifter vilket avgör tiden till återgång i arbete (ofta möjligt inom en vecka),,
133,OBS,"Informera om rök-, kost- och alkoholvanor i syfte att förebygga benbrott, via 1177 Vårdguiden",,
134,OBS,Instruera om högläge samt rörlighetsträning för att förebygga stelhet efter avgipsning,,
135,OBS,Utreda patientens arbetsuppgifter eftersom funktionsnedsättningen kan kvarstå efter gipsbehandling,,
136,REK,"Arbetsanpassning, under läketiden 3–6 veckor, via arbetsgivare och företagshälsovård",,
137,REK,Fysioterapi eller arbetsterapi för mobilisering genom rörlighetsträning och ödemprofylax,,
138,REK,Arbetsterapi för utprovning av stödskena (ortos),,
139,OBS,"Funktionsnedsättning kan kvarstå, och pseudoartros kan uppstå, efter gipsbehandling",,
140,OBS,Utreda patientens arbetsuppgifter; vissa arbeten kan utföras även under pågående gipsbehandling,,
141,REK,Fysioterapi eller arbetsterapi för mobilisering genom rörlighetsträning och ödemprofylax,,
142,REK,Fysisk aktivitet (FaR med rörlighetsträning och ödemprofylax eller fysioterapi),,
143,REK,"Arbetsanpassning, via arbetsgivare och företagshälsovård",,
144,OBS,Utreda möjligheten till återgång i arbete med hjälp av arbetsresor och arbetsuppgiftsanpassning,,
145,REK,Arbetsresor via arbetsgivare (dag 1-14) och Försäkringskassan (från dag 15),Kontakt med företagshälsovård,Arbetsresor
146,REK,"Vid ledstelhet och smärta vid belastning: Arbetsanpassning, via arbetsgivare och företagshälsovård",,
147,REK,"Ergonomisk arbetsplatsbedömning, via arbetsgivare och företagshälsovård",,
148,REK,Fysioterapi eller arbetsterapi för funktions- och aktivitetsträning,,
149,REK,Arbetsterapi för utprovning av hjälpmedel,,
150,OBS,Skadan ofta kan innebära en ofrivilligt avbruten idrottskarriär,,
151,OBS,Fysioterapi kan motverka risken för knäartros,,
152,OBS,Genom att stärka lårmuskulaturen kan reluxation undvikas,,
153,OBS,Patienten kan belasta och rörelseträna i ortosen,,
154,OBS,Alltid behandla med fysioterapi innan kirurgi diskuteras,,
155,REK,Fysioterapi för excentrisk styrketräning,,
156,OBS,"Uppmuntra till struktur, livsbalans och fysisk aktivitet samt att upprätthålla sociala kontakter",,
157,OBS,Återgång till arbete efter stroke är en viktig faktor för livskvaliteten,,
158,OBS,"Kartlägga komplikationer i form av depression, epilepsi och smärta samt afasi och fatigue",,
159,OBS,"Skicka med lättillgänglig information, eftersom dolda kognitiva besvär kan försvåra dialogen med anhöriga",,
160,REK,"Arbetsanpassning, via arbetsgivare och företagshälsovård",,
161,REK,Arbetsterapi för ADL träning och utprovning av hjälpmedel och ortos,,
162,REK,"CI-terapi (Constraint Induced Movement Therapy), för träning av arm- och handfunktionen",,
163,REK,"Fysioterapi med långvarig regelbunden handledd konditions-, styrke- och funktionsträning",,
164,REK,"Ergonomisk arbetsplatsbedömning, via arbetsgivare och företagshälsovård",,
165,REK,"Rehabiliteringsplan i samverkan med vårdcentral, arbetsgivare och försäkringskassan",,
166,REK,"Psykosocial behandling: stödjande samtal, motiverande samtal eller psykopedagogisk behandling",,
167,REK,"Psykoterapi: KBT, interpersonell psykoterapi (IPT), psykodynamisk korttidsterapi (ISTDP)",,
168,REK,Utredning av körförmåga,,
169,OBS,"Kartlägga bakomliggande orsaker såsom sömn, bett, ångest och arbetsmiljö",,
170,OBS,Instruera patienten om hur utlösande faktorer kan undvikas,,
171,OBS,Utreda möjligheten till återgång i arbete med hjälp av arbetsanpassning,,
172,REK,"Arbetsanpassning, via arbetsgivare och företagshälsovård",,
173,REK,"Fysioterapi eller psykoterapi med hantering av t.ex. stress, emotionell spänning eller sömnbrist",,
174,REK,Bettfysiologisk utredning via ÖHN,,
175,OBS,En huvudvärksdagbok kan hjälpa patienten att registrera besvär samt effekt av läkemedelsanvändning,,
176,OBS,Passiv sjukskrivning och ogenomtänkta förnyade utredningar är skadliga,,
177,OBS,Fysisk aktivitet är indicerad även om den initialt kan medföra övergående smärtökning,,
178,OBS,Utreda samsjuklighet med ångest eller depression,,
179,REK,Multimodal rehabilitering för smärthantering via smärt- eller rehabiliteringsmedicinsk klinik,,
180,REK,"Arbetsanpassning, via arbetsgivare och företagshälsovård samt försäkringskassan",,
181,REK,Arbetsterapi för ADL träning enligt ReDO-metodiken,,
182,REK,"Psykosocial behandling: stödjande samtal, motiverande samtal eller psykopedagogisk behandling",,
183,REK,Fysioterapi med individuellt utprovat träningsprogram,,
184,REK,"Psykoterapi: KBT, interpersonell psykoterapi (IPT), psykodynamisk korttidsterapi (ISTDP)",,
185,REK,"Beteendemedicinsk behandling i kombination med fysisk träning, via vårdcentral eller fysioterapeut",,
186,REK,"Manuell terapi för smärtlindring via naprapat, kiropraktor eller fysioterapeut",,
187,OBS,Byte av yrke eller arbetsplats kan vara alternativ,,
